Link to HLAS Catalog,Author,Country of Origin,English Title,Translator,City where book was published,Name of Publisher,Year book was published,Annotations about translation
https://lccn.loc.gov/bi80106630,"Fuentes, Carlos ",Mexico,Aura ,Lysander Kemp ,New York,Farrar  Straus  and Giroux ,1965,"This early novel signals a direction Fuentes will explore consistently in his later work. Not received seriously by some critics, in fact, the theme of the passage of one consciousness through two (or many) bodies is a constant throughout Fuentes' writing. The author conceives of this novel as one of a trilogy completed by {lcub}Birthday{rcub} and {lcub}Distant Relations{rcub}. A very good translation."
https://lccn.loc.gov/bi80106628,"Cortázar, Julio ",Argentina,Hopscotch ,Gregory Rabassa,New York,Pantheon Books ,1966,"This book, this translation must surely be considered one of the breakthrough publications in Latin American literature in the English-speaking world, setting the stage for many works to follow. Though Alfred J. MacAdam believes that the novel is dated, it has, in fact, weathered well, and will continue to be studied as ""a philosophical manifesto, a revolt against literary language, and the account of an extraordinary spiritual pilgrimage,"" as it has been classified by Luis Harss. The translation, as indicated, is similarly a milestone in Spanish American literature."
https://lccn.loc.gov/bi80106635,"Vargas Llosa, Mario ",Peru,The time of the hero ,Lysander Kemp ,New York,Grove Press ,1966,"One remembers the excitement with which {lcub}La ciudad y los perros{rcub} was received, and agrees with Alastair Reid that ""Mario Vargas Llosa's book makes the majority of novels written in our day look shabby and thin by comparison..."" An excellent translation, stumbling only on that perennial problem in translation, nicknames and epithets. And obviously something had to be done with the title; perhaps the irony of the English is the answer."
https://lccn.loc.gov/bi78107883,"Asturias, Miguel Angel ",Guatemala,Strong wind ,Gregory Rabassa,New York,Delacorte Press/Seymour Lawrence ,1968,"Asturias himself believes that {lcub}Strong wind{rcub} ""marks the beginning of a new method of writing novels."" Not as mythic as his {lcub}Leyendas{rcub} or {lcub}Men of maize{rcub}, the language still presents enormous problems for a translator. ""For a translator,"" Asturias says, ""to put himself into my books is as difficult as for a European who has never seen America to understand our landscape."" Even Rabassa, the best of Asturias' translators, is not up to par here."
https://lccn.loc.gov/bi78107887,"Carballido, Emilio ",Mexico,The norther : El norte ,Margaret Sayers Peden ,Austin,University of Texas Press ,1968,
https://lccn.loc.gov/bi78107894,"Fuentes, Carlos ",Mexico,A change of skin ,Sam Hileman ,New York,Farrar  Straus  and Giroux ,1968,"Sixth of Fuentes' nine novels, this may be his most controversial book. The Italian critical reception was probably the warmest. In the US, the translation was questioned, probably because it is more an ""improvisation"" (Raymond West) than a translation - though it reads very well. The omission of sizeable portions of the original is puzzling."
https://lccn.loc.gov/bi78107907,"Sáinz, Gustavo ",Mexico,Gazapo ,Hardie St  Martin ,New York,Farrar  Straus  and Giroux ,1968,"Sáinz makes the now-familiar demands upon the reader, demanding that he sort out the details of this boy-girl-in-love story from the many narrative devices. (One sees, too, Sáinz' interest in film, an influence shared by most contemporaries.) Great reliance is placed on everyday speech, and the translation does not capture the colloquial tone."
https://lccn.loc.gov/bi78107909,"Vargas Llosa, Mario ",Peru,The green house ,Gregory Rabassa,New York,Harper & Row ,1968,"""There's nothing like the jungle,"" says one of the characters in this very exotic novel. Typical of Vargas Llosa's narrative style, the reader struggles through jungle liana and desert sand to untangle the many narrative lines, but the trip is worthwhile. Rabassa has made one of his best translations here."
https://lccn.loc.gov/bi78107910,"Yáñez, Agustín ",Mexico,The lean lands ,Ethel Brinton  Illustrated by Alberto Beltrán ,Austin,University of Texas Press ,1968,"Not as important as {The edge of the storm}, this novel, nevertheless, illustrates the qualities that cause critics to consider Yáñez as the immediate Mexican precursor to the authors of the Boom. Brinton's translation tends towards the formal."
https://lccn.loc.gov/bi78107884,"Benedetti, Mario ",Uruguay,The truce ,Benjamin Graham ,New York,Harper & Row ,1969,"""A statement not just about a single man, but about the Uruguayan people."" (John S. Brushwood); ""The vehicle of a vision of life"" (Arthur Gold), this brief, well-structured novel by a lesser-known author recounts a temporary ""truce"" in a lonely life, which the diary format makes very personal. Good translation."
https://lccn.loc.gov/bi78107891,"Díaz Sánchez, Ramón ",Venezuela,Cumboto ,John Upton ,Austin,University of Texas Press ,1969,"{Cumboto} was chosen by the Ibero-American Novel Project of the William Faulkner Foundation as the most notable novel published in Ibero-America between 1945-62. One might have thought this novel Brazilian rather than Venezuelan, if not for the nationality of the author. A saga of the estate Cumboto, the intermingling of white and black blood lines, magic, treasure, the deterioration of the white man in hostile tropics. Told through the person of Natividad, and very convincingly  Upton."
