Link to HLAS catalog,author,Author city of origin,English title,translator name,city where book was published,publisher,year published,translation annotations
https://lccn.loc.gov/bi78107936,"Amado, Jorge ",Bahía,Dona Flor and her two husbands: a moral and amorous tale ,Harriet de Onís,New York,Knopf ,1969,"Appreciated for its exhuberance and sensuality, its evocation of Bahia, this robust and zestful novel has enjoyed an unusual success in the US. One of De Onís' better translations, but not as good as Shelby on {Amado}. Brief glossary."
https://lccn.loc.gov/bi78107939,"Castro, Josué de ",Pernambuco,Of men and crabs ,Susan Hertelendy,New York,Vanguard Press ,1970,"Fictionalized bibliography, reminiscence, fiction, this book by a specialist on world hunger is a very moving protrait of his homeland in Recife, and the resemblances and relationships between crab and man. The translation is very smooth and easy and appropriate to the original."
https://lccn.loc.gov/bi78107941,Machado de Assis ,Río de Janeiro,The hand & the glove ,"Albert I. Bagby, Jr.",Lexington ,University Press of Kentucky ,1970,"This small novel is from the first of the author's two periods, the Romantic phase which is not as highly regarded critically as his later work. The translation of period novels raises serious questions, never satisfactorily resolved: to what degree does the translator ""modernize"" (or in this case, ""de-Romanticize"") the text? The translator has, I believe, erred in favor of maintaining the period, to the detriment of universality."
https://lccn.loc.gov/bi78107942,"Pereira, Antonio Olavo ",São Paulo,Marcoré ,Alfred Hower and John Saunders,Austin,University of Texas Press ,1970,"Critical and popular success, a simple, straightforward story expressed through first person narrative. Very well-crafted characters. The translation is smooth, and appropriate to the tone of the novel."
https://lccn.loc.gov/bi78107938,"Callado, Antônio ",Río de Janeiro,Don Juan's bar:a novel ,Barbara Shelby,New York,Alfred A. Knopf ,1972,In the same political vein as his more widely-known {Quarup}. A good translation except for an occasional old-fashioned turn of phrase.
https://lccn.loc.gov/bi86106556,Machado de Assis ,Río de Janeiro,Helena: A Novel,Helen Caldwell,Berkeley ,University of California Press ,1984,"Machado de Assis's incisive, ironic treatment of social and religious conventions, and his witty but compassionate insights into the paradoxes of human behavior have gained him the reputation as not only Brazil's but Latin America's greatest 19th-century realist. Though one of his minor works, Helena, an ironic yet romantic meditation of the imperfections of love and marriage (with an underlying tale of incest) is a captivating novel. Translation is uneven - sometimes "
https://lccn.loc.gov/bi78107940,Machado de Assis ,Río de Janeiro,Counselor Ayres' memorial ,Helen Caldwell,Berkeley ,University of California Press ,1972,"Machado de Assis probably has the greatest immediate recognition to a North American reader of any Brazilian writer. His major novels have all been translated. This is the last, and the most recent, translation. Again translated by Helen Caldwell, who devoted a career to studying and translating this author's works."
https://lccn.loc.gov/bi82106329,"Amado, Jorge ",Bahía,"Tereza Batista, home from the wars ",Barbara Shelby,New York,Avon Books ,1975,"Barbara Shelby, whose translation is not credited on title page, is an outstanding translator of Portuguese novels. This is another fine translation of a complex yet humorous and tender work that interweaves two strands of popular Brazilian culture: the African thread and the ballad tradition known as literatura de cordel."
https://lccn.loc.gov/bi78107937,"Azevedo, Aluísio ",Maranhão,A Brazilian tenement ,Harry W. Brown,New York,Howard Fertig ,1976,"Aluizio Azevedo is the father of Brazilian realism/naturalism, and this novel is considered to be his major work. The translation, however, is flawed from the beginning because of the decision to omit certain ""incidents"" and ""details"" because of the ""squeamish sensibilities of our reading public."" Reprint of first edition (New York: R.M. McBride, 1926)."
https://lccn.loc.gov/bi82106334,"Souza, Márcio ",Manaos,The emperor of the Amazon ,Thomas Colchie,New York,Avon Books ,1977,"Michael Wood called this novel ""a trip through a world of allusions, spiced with knock-about adventures."" One wonders why Brazilian writers are so much more humorous than Spanish ones. Souza burlesques the picaresque, 19th-century feuilleton, the epigram, theater, opera, while slyly slipping in acerbic social commentary. Book is probably most closely related to comic opera, extravagant, entertaining, exhuberant. Thomas Colchie has produced an excellent translation of this lively narrative."
https://lccn.loc.gov/bi82106330,"Lins, Osman ",Pernambuco,Avalovara ,Gregory Rabassa,New York,Distributed by Random House ,1980,"Extremely complex book is rigorously plotted yet also surreal, elusive, chaotic. Book did not receive critical attention it deserves. Translation was awarded Calouste Gulbenkian-Pen Translation Prize given every two years for best translation from Portuguese. Rabassa was cited for ""bringing a masterpiece of modern Brazilian and Latin American narrative to the attention of the English reader... without sacrificing its intense lyricism."""
https://lccn.loc.gov/bi82106333,"Queiroz, Dinah Silveira de ",São Paulo,The women of Brazil ,Roberta King,New York,Vantage Press ,1980,"Novel of great sweeping scene, exuberant nature, war, pestilence, love, death, jealousy, hate, reconciliation. Might find a popular audience, but it is difficult from the translation to understand basis of author's reputation."
https://lccn.loc.gov/bi84106477,"Dourado, Autran ",Minas Gerais,The voices of the dead:a novel ,John M. Parker,New York,Taplinger Pub. Co. ,1981,"A kind of Brazilian gothic set in Duas Pontes, far in the interior. Dourago has been compared to Faulkner for ""the grip of the past on the present, regional history as fate and myth, inescapable family destinies"" (Katha Pollitt). Translation is unpleasant to North American ears, relying heavily on British colloquial language."
https://lccn.loc.gov/bi84106480,"Ribeiro, Darcy ",Minas Gerais,Maíra ,E.H. Goodland and Thomas Colchie.,New York,Vintage Books ,1984,"First novel by anthropologist, this ""wistful evocation of a doomed culture"" (Jim Miller) brings the exoticism of a distant (in time and space) Indian culture to the North American reader, along with confrontation between the mythic world of that culture and encroaching religious and social change. Smooth translation with good sense of place."
https://lccn.loc.gov/bi89008029,"Ribeiro, Stella Carr ",Río de Janeiro,Sambaqui:a novel of pre-history ,Claudia Van der Heuvel,New York,Avon Books ,1987,Carr Ribeiro combines her love of literature and her passion for Brazilian anthropology in this novel set in the last days of prehistoric Sambaquis (shell-midden) culture as it faces extinction by a more advanced tribe. Van der Heuvel's translation reads very well. [GFD]
https://lccn.loc.gov/bi86106559,"Queiroz, Rachel de ",Ceará,The Three Marías ,Fred P. Ellison,Austin,University of Texas Press ,1985,"Classic ""novel of the Northeast"" by one of the first women writers to receive national recognition in Brazil. The story of the lives of three young women from different social backgrounds who first meet in a convent, The three Marías (the name of a constellation in the Southern Hemisphere) is narrated in a simple, almost pastoral style. The introduction is informative."
https://lccn.loc.gov/bi89008045,"Scliar, Moacyr ",Río Grande del Sur,The centaur in the garden ,Margaret A. Neves,New York,Available Press ,1985,"Scliar's whimsical 1980 novel of the life and loves of a Jewish-Brazilian centaur is a delight. Although colloquial language in the English version of the dialogues occasionally lacks the original bite, this capable, balanced translation conveys well the subtle humor and poetic wisdom of a remarkable work. [LC]"
https://lccn.loc.gov/bi89008049,"Scliar, Moacyr ",Río Grande del Sur,The one-man army ,Eloah F. Giacomelli,New York,Ballantine Books ,1985,"Skillfully crafted novella about a social visionary navigating the confluence of his utopian ideals with prosaic reality. Much of the work's ironic humor derives from nuances of tone and rhythm, which are for the most part well rendered in Giacomelli's close but not overly literal translation. [LC]"
https://lccn.loc.gov/bi89008050,"Souza, Márcio ",Manaos,Mad Maria ,Thomas Colchie,New York,Avon Books ,1985,"Wicked Yankee capitalists and corrupt Brazilian policemen scheme in 1911 to exploit Brazil under the guise of introducing ""civilization."" Lika a black-and-white film that has been colorized, Colchie's translation makes the text more vivid by the introduction of dialogue and accent. [GFD]"
https://lccn.loc.gov/bi89008032,"Fonseca, Rubem ",Minas Gerais,High art ,Ellen Watson,New York,HarperCollins ,1986,"With only a few bloopers, Watson's translation of the kaleidoscopic scenes of explicit sodomy, rape, murder, torture, incest, satyriasis, lesbianism, and coprophagia deserves credit for endurance. A detective story with pretensions to allegory, or vice versa? Vargas Llosa says, ""The reader never loses interest."" That is debatable. [GFD]"
https://lccn.loc.gov/bi89008034,"França Júnior, Oswaldo ",Minas Gerais,The man in the monkey suit ,Gregory Rabassa,New York,Ballantine Books ,1986,"Alfonso, an auto mechanic, recounts incidents of his life, his on-and-off relationships with women, and his aspirations in a rambling, low-key conversation that is fascinating in its simplicity and profundity. Rabassa's translation conveys perfectly the spare and matter-of-fact ruminations on life's ups and downs. [GFD]"
https://lccn.loc.gov/bi89008036,"Lispector, Clarice ",Chechelnik,The apple in the dark ,Gregory Rabassa,Austin,University of Texas Press ,1986,"Rabassa's translation of Lispector's 1961 novel was first published in 1967 and is here reprinted with his original, now somewhat dated, introduction. In a fluent translation (with, however, occasional surprising errors), the novel portrays the hero's existential crisis and self-imposed initiation rite, accompanied by his transition from silence to language. [DP]"
https://lccn.loc.gov/bi89008037,"Lispector, Clarice ",Chechelnik,"An apprenticeship, or, The book of delights ",Richard A. Mazzara and Lorri A. Parris,Austin,University of Texas Press ,1986,"Any translation invariably involves acts of interpretation, but this one is marred by the translators' apparent belief that Lispector's 1969 novel, written with her usual hermetic prose full of violations of grammar, needed to be smoothed over and interpreted for the reader. The translators have included their own explanatory philosophical footnotes and introduced gendered pronouns not found in the original. [DP]"
